group_id,canonical,leg,joint,bodyId,type,instance,somaSide,somaNeuromere,display_evidence_class,legacy_comparison,physiological_action_in_this_cell_measured
T1L:knee_flexor,knee_flexor,T1L,femur-tibia,909831,Ti flexor MN,Ti flexor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:knee_flexor,knee_flexor,T1L,femur-tibia,1050115387,Acc. ti flexor MN,Acc. ti flexor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:root_pra,root_pra,T1L,thorax-coxa,802509,Pleural remotor/abductor MN,Pleural remotor/abductor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:root_pra,root_pra,T1L,thorax-coxa,803803,Pleural remotor/abductor MN,Pleural remotor/abductor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:root_sad,root_sad,T1L,thorax-coxa,813480,Sternal adductor MN,Sternal adductor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:root_sar,root_sar,T1L,thorax-coxa,806923,Sternal anterior rotator MN,Sternal anterior rotator MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:root_sar,root_sar,T1L,thorax-coxa,919509,Sternal anterior rotator MN,Sternal anterior rotator MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:root_spr,root_spr,T1L,thorax-coxa,801915,Sternal posterior rotator MN,Sternal posterior rotator MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:root_spr,root_spr,T1L,thorax-coxa,804851,Sternal posterior rotator MN,Sternal posterior rotator MN_L,L,T1,annotation_only,legacy_target_missing,False
T1L:root_spr,root_spr,T1L,thorax-coxa,808640,Sternal posterior rotator MN,Sternal posterior rotator MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:root_spr,root_spr,T1L,thorax-coxa,1050335829,Sternal posterior rotator MN,Sternal posterior rotator MN_L,L,T1,annotation_only,legacy_target_missing,False
T1L:root_promotor,root_promotor,T1L,thorax-coxa,800061,Tergopleural/Pleural promotor MN,Tergopleural/Pleural promotor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:root_promotor,root_promotor,T1L,thorax-coxa,801173,Tergopleural/Pleural promotor MN,Tergopleural/Pleural promotor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:root_promotor,root_promotor,T1L,thorax-coxa,807281,Tergopleural/Pleural promotor MN,Tergopleural/Pleural promotor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1L:root_promotor,root_promotor,T1L,thorax-coxa,934091,Tergopleural/Pleural promotor MN,Tergopleural/Pleural promotor MN_L,L,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1R:knee_extensor,knee_extensor,T1R,femur-tibia,804257,Ti extensor MN,Ti extensor MN_R,R,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1R:knee_extensor,knee_extensor,T1R,femur-tibia,815678,Ti extensor MN,Ti extensor MN_R,R,T1,annotation_only,different_joint_or_action,False
T1R:knee_flexor,knee_flexor,T1R,femur-tibia,810098,Ti flexor MN,Ti flexor MN_R,R,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1R:knee_flexor,knee_flexor,T1R,femur-tibia,817509,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1R:knee_flexor,knee_flexor,T1R,femur-tibia,821635,Ti flexor MN,Ti flexor MN_R,R,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1R:knee_flexor,knee_flexor,T1R,femur-tibia,827188,Ti flexor MN,Ti flexor MN_R,R,T1,annotation_only,legacy_target_missing,False
T1R:knee_flexor,knee_flexor,T1R,femur-tibia,833140,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T1,annotation_only,different_joint_or_action,False
T1R:knee_flexor,knee_flexor,T1R,femur-tibia,837745,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T1,confirmed_direction_candidate,muscle_label_and_mapped_action_agree,False
T1R:knee_flexor,knee_flexor,T1R,femur-tibia,909713,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T1,annotation_only,different_joint_or_action,False
T1R:knee_flexor,knee_flexor,T1R,femur-tibia,1050005026,Acc. ti flexor MN,Acc. ti flexor MN_R,R,T1,annotation_only,different_joint_or_action,False
T1R:knee_flexor,knee_flexor,T1R,femur-tibia,1050031705,Ti flexor MN,Ti flexor MN_R,R,T1,annotation_only,legacy_target_missing,False
